Title,District,Party,didate Name,,Total Votes,Election
House,8,(D),SOUKI,Joe,5686,2010
House,8,(R),SCHMUCKER,Dean,1694,2010
House,9,(D),KEITH-AGARAN,Gil S. Coloma,4884,2010
House,9,(R),HOYLMAN,Jeff,1307,2010
House,10,(D),MCKELVEY,Angus L.K.,3191,2010
House,10,(R),MADDEN,Ramon Kitaichi,1773,2010
House,11,(R),FONTAINE,George R.,3051,2010
House,11,(D),BERTRAM,Joseph III,2879,2010
House,12,(D),YAMASHITA,Kyle,6242,2010
House,12,(R),RINALDI,Laurie,2134,2010
House,13,(D),CARROLL,Mele,5058,2010
House,13,(R),AKUNA,Meiling K.,1491,2010
House,14,(D),MORITA,Hermina (Mina),5062,2010
House,14,(R),WILLIAMS,Harry E.,1600,2010
House,15,(D),TOKIOKA,James Kunane,5855,2010
House,15,(R),FILLHART,Larry,1471,2010
House,16,(D),MORIKAWA,Daynette (Dee),5450,2010
House,16,(R),STERKER,Phil,1333,2010
House,18,(D),HASHEM,Mark Jun,4876,2010
House,18,(R),BARON,Chris (Pei-Ji),4413,2010
House,20,(D),SAY,Calvin K.Y.,5907,2010
House,20,(R),ALLEN,Julia E.,2086,2010
House,21,(D),NISHIMOTO,Scott Y.,5441,2010
House,21,(R),LEMBECK,Jay,1555,2010
House,22,(D),SAIKI,Scott K.,4016,2010
House,22,(R),CUADRA,Gregory (Greg),1162,2010
House,23,(D),BROWER,Tom,3525,2010
House,23,(R),WHITE,Thomas E.,1847,2010
House,24,(D),CHOY,Isaac W.,6545,2010
House,24,(R),THOMSON,Zach,1896,2010
House,25,(D),BELATTI,Della Au,4302,2010
House,25,(R),SABEY,Isaiah Kauka,2351,2010
House,26,(D),LUKE,Sylvia,6189,2010
House,26,(R),KATZ,Norm,2132,2010
House,27,(R),CHING,Corinne Wei Lan,4646,2010
House,27,(D),VASQUEZ,Lynn,1945,2010
House,28,(D),RHOADS,Karl,3203,2010
House,28,(R),CHANG,David S.Y.,2636,2010
House,29,(D),MANAHAN,Joey,3208,2010
House,29,(R),HARDING,Ken,761,2010
House,30,(D),MIZUNO,John,3945,2010
House,30,(R),KAAPU,Carole Kauhiwai,1067,2010
House,31,(D),ICHIYAMA,Linda E.,4879,2010
House,31,(R),SHIMIZU,Garner Musashi,2419,2010
House,32,(R),JOHANSON,Aaron Ling,3304,2010
House,32,(D),SHARSH,?Lei,2553,2010
House,33,(D),OSHIRO,Blake K.,4088,2010
House,33,(R),KONG,Sam,3418,2010
House,34,(D),TAKAI,K. Mark,6213,2010
House,34,(R),WONG,William G.K.,1453,2010
House,35,(D),AQUINO,Henry J.C. ?,4803,2010
House,35,(R),YAGO,Reginald A.,948,2010
House,36,(D),TAKUMI,Roy M.,4806,2010
House,36,(R),SHIRAKI,Reed S.,2898,2010
House,37,(D),YAMANE,Ryan I.,5092,2010
House,37,(R),FUKUMOTO,Beth,3865,2010
House,38,(D),LEE,Marilyn B.,5578,2010
House,38,(R),KAWAKAMI,Shaun Hayato,5562,2010
House,39,(D),OSHIRO,Marcus R.,3769,2010
House,39,(R),CURTIS,Sam,1985,2010
House,40,(D),HAR,Sharon E.,6170,2010
House,40,(R),CAPELOUTO,Marissa,2994,2010
House,41,(D),CULLEN,Ty,4510,2010
House,41,(R),WONG,Carl J.,1639,2010
House,42,(D),CABANILLA ARAKAWA,Rida,2790,2010
House,42,(R),BERG,Tom,2177,2010
House,43,(R),PINE,Kymberly (Marcos),5804,2010
House,43,(D),BRADSHAW,Jason W.,2790,2010
House,45,(D),SHIMABUKURO,Maile S.L.,2660,2010
House,45,(R),MEYERS,Jadeen,1912,2010
House,46,(R),RIVIERE,Gil,3109,2010
House,46,(D),SAGAYSAY,Larry,2332,2010
House,47,(D),WOOLEY,Jessica E.,4761,2010
House,47,(R),FALE,Richard,3268,2010
House,48,(D),ITO,Ken,6639,2010
House,48,(R),RADKE,Mo,2353,2010
House,49,(D),CHONG,Pono,5454,2010
House,49,(R),AIONA,Joseph,3201,2010
House,51,(D),LEE,?Chris,5626,2010
House,51,(R),WOLFGRAMM,Maka,2050,2010
Senate,1,(D),TAKAMINE,Dwight Y.,12972,2008
Senate,1,(R),HONG,Ted H.S.,7560,2008
Senate,5,(D),BAKER,Roz,8506,2008
Senate,5,(R),SHIELDS,Jan,6286,2008
Senate,6,(D),ENGLISH,J. Kalani,14030,2008
Senate,6,(I),BLUMER-BUELL,John,3653,2008
Senate,7,(D),HOOSER,Gary L.,18994,2008
Senate,7,(R),GEORGI,JoAnne S.,6041,2008
Senate,12,(D),GALUTERIA,Brickwood M.,6618,2008
Senate,12,(R),TRIMBLE,Gordon,5922,2008
Senate,21,(D),HANABUSA,Colleen,7818,2008
Senate,21,(R),JOHNSON,Dickyj,2329,2008
Senate,23,(D),HEE,Clayton,10727,2008
Senate,23,(R),FALE,Richard,5269,2008
House,1,(D),NAKASHIMA,Mark M.,5801,2008
House,1,(R),OFFENBAKER,Steven A.,2360,2008
House,3,(D),TSUJI,Clifton (Clift),7958,2008
House,3,(R),TAVARES,Deirdre (Moana),1413,2008
House,4,(D),HANOHANO,Faye P.,5324,2008
House,4,(R),BLAS,Fred,4429,2008
House,6,(D),COFFMAN,Denny,4520,2008
House,6,(R),SMITH,Andy,4378,2008
House,7,(D),EVANS,Cindy,6250,2008
House,7,(R),DELA CRUZ,Ronald (Makaula),3017,2008
House,9,(D),NAKASONE,Bob,5642,2008
House,9,(R),KAHULA,Henry P.,1191,2008
House,10,(D),MCKELVEY,Angus,4477,2008
House,10,(R),MADDEN,Ramon K.,2000,2008
House,11,(D),BERTRAM,Joe,4299,2008
House,11,(R),FONTAINE,George R.,3215,2008
House,12,(D),YAMASHITA,Kyle,7151,2008
House,12,(R),VIERRA,Mickey,2879,2008
House,17,(R),WARD,Gene,6979,2008
House,17,(D),MONK,Amy Yukiko,5234,2008
House,19,(R),MARUMOTO,Barbara C.,6440,2008
House,19,(D),ABE,Michael (Mike),4450,2008
House,20,(D),SAY,Calvin K. Y.,7129,2008
House,20,(R),ALLEN,Julia E.,1916,2008
House,23,(D),BROWER,Tom,3852,2008
House,23,(R),STEVENS,Anne V.,2924,2008
House,24,(D),CHOY,Isaac W.,6689,2008
House,24,(R),JEFFRYES,Jerilyn (Jeri),2857,2008
House,27,(R),CHING,Corinne Wei Lan,4092,2008
House,27,(D),MOEPONO,Sesnita Der-Ling,3443,2008
House,29,(D),MANAHAN,Joey,4099,2008
House,29,(R),YAW,Shane D. K.,616,2008
House,35,(D),AQUINO,Henry James C.,5566,2008
House,35,(R),ANTONIO,Steven Bolosan,998,2008
House,36,(D),TAKUMI,Roy M.,6903,2008
House,38,(D),LEE,Marilyn B.,8268,2008
House,38,(R),APANA,Melvin K.,3855,2008
House,40,(D),HAR,Sharon E.,7294,2008
House,40,(R),LEGAL,Jack M.,3348,2008
House,41,(D),KARAMATSU,Jon Riki,4128,2008
House,41,(R),SANIATAN,Rito C.,3082,2008
House,42,(D),CABANILLA ARAKAWA,Rida T.R.,2788,2008
House,42,(R),BERG,Tom,2665,2008
House,43,(R),PINE,Kymberly (Marcos),7178,2008
House,43,(D),FEVELLA,Kurt,2682,2008
House,44,(D),AWANA,Karen Leinani,4373,2008
House,44,(R),KU,Tercia L.,1159,2008
House,45,(D),SHIMABUKURO,Maile S.L.,3922,2008
House,45,(R),GAPOL,Derek A.,1172,2008
House,46,(D),MAGAOAY,Michael Y.,4176,2008
House,46,(R),RIVIERE,Gil,3232,2008
House,47,(D),WOOLEY,Jessica,4934,2008
House,47,(R),MEYER,Colleen,4467,2008
House,51,(D),LEE,Chris Kalani,5885,2008
House,51,(R),KAWANANAKOA,Quentin Kuhio,3374,2008
